track_id,artist_id,audio_path,text,split,y_genre,y_tags,y_valence,y_arousal,duration_s
musiccaps_-0Gj8-vB1q4_30_40,yt_-0Gj8-vB1q4,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-0Gj8-vB1q4_30_40.mp3,"The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful, like something you would hear at Sunday services.",test,-1,"[""low quality"", ""sustained strings melody"", ""soft female vocal"", ""mellow piano melody"", ""sad"", ""soulful"", ""ballad""]",,,10.0
musiccaps_-0SdAVK79lg_30_40,yt_-0SdAVK79lg,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-0SdAVK79lg_30_40.mp3,This song features an electric guitar as the main instrument. The guitar plays a descending run in the beginning then plays an arpeggiated chord followed by a double stop hammer on to a higher note and a descending slide followed by a descending chord run. The percussion plays a simple beat using rim shots. The percussion plays in common time. The bass plays only one note on the first count of each bar. The piano plays backing chords. There are no voices in this song. The mood of this song is relaxing. This song can be played in a coffee shop.,train,-1,"[""guitar song"", ""piano backing"", ""simple percussion"", ""relaxing melody"", ""slow tempo"", ""bass"", ""country feel"", ""instrumental"", ""no voice""]",,,10.0
musiccaps_-0vPFx-wRRI_30_40,yt_-0vPFx-wRRI,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-0vPFx-wRRI_30_40.mp3,"a male voice is singing a melody with changing tempos while snipping his fingers rhythmically. The recording sounds like it has been recorded in an empty room. This song may be playing, practicing snipping and singing along.",test,-1,"[""amateur recording"", ""finger snipping"", ""male mid range voice singing"", ""reverb""]",,,10.0
musiccaps_-0xzrMun0Rs_30_40,yt_-0xzrMun0Rs,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-0xzrMun0Rs_30_40.mp3,This song contains digital drums playing a simple groove along with two guitars. One strumming chords along with the snare the other one playing a melody on top. An e-bass is playing the footnote while a piano is playing a major and minor chord progression. A trumpet is playing a loud melody alongside the guitar. All the instruments sound flat and are being played by a keyboard. There are little bongo hits in the background panned to the left side of the speakers. Apart from the music you can hear eating sounds and a stomach rumbling. This song may be playing for an advertisement.,test,-1,"[""backing track"", ""jazzy"", ""digital drums"", ""piano"", ""e-bass"", ""trumpet"", ""acoustic guitar"", ""digital keyboard song"", ""medium tempo""]",,,10.0
musiccaps_-1LrH01Ei1w_30_40,yt_-1LrH01Ei1w,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-1LrH01Ei1w_30_40.mp3,This song features a rubber instrument being played. The strumming is fast. The melody is played on one fretted string and other open strings. The melody is played on the lower octave and is later repeated on the higher octave. This song can be played at a folk party.,train,-1,"[""rubab instrument"", ""repetitive melody on different octaves"", ""no other instruments"", ""plucked string instrument"", ""no voice"", ""instrumental"", ""fast tempo""]",,,10.0
musiccaps_-1OlgJWehn8_30_40,yt_-1OlgJWehn8,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-1OlgJWehn8_30_40.mp3,"This clip is three tracks playing consecutively. The first one is an electric guitar lead harmony with a groovy bass line, followed by white noise and then a female vocalisation to a vivacious melody with a keyboard harmony, slick drumming, funky bass lines and male backup. The three songs are unrelated and unsynced.",test,-1,"[""instrumental"", ""white noise"", ""female vocalisation"", ""three unrelated tracks"", ""electric guitar harmony"", ""bass guitar"", ""keyboard harmony"", ""female lead vocalisation"", ""keyboard harmony"", ""slick drumming"", ""boomy bass drops"", ""male voice backup vocalisation""]",,,10.0
musiccaps_-1UWSisR2zo_30_40,yt_-1UWSisR2zo,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-1UWSisR2zo_30_40.mp3,"A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track for the dancing children. The audio quality is very poor with high gains and hissing noise.",test,-1,"[""live performance"", ""poor audio quality"", ""ambient noises"", ""school dance program"", ""crowd noise"", ""high gain volume"", ""hissing tones"", ""medium tempo"", ""techno dance song"", ""male singer"", ""groovy bass line"", ""techno dance rhythm"", ""keyboard accompaniment"", ""kids dancing"", ""noisy crowds"", ""home video"", ""school program"", ""noise""]",,,10.0
musiccaps_-3Kv4fdm7Uk_30_40,yt_-3Kv4fdm7Uk,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-3Kv4fdm7Uk_30_40.mp3,someone is playing a high pitched melody on a steel drum. The file is of poor audio-quality.,test,-1,"[""steeldrum"", ""higher register"", ""amateur recording""]",,,10.0
musiccaps_-4NLarMj4xU_30_40,yt_-4NLarMj4xU,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-4NLarMj4xU_30_40.mp3,"The Pop song features a soft female vocal singing over sustained pulsating synth lead, mellow piano melody, sustained synth brass, punchy kick, claps. tinny wide hi hats and high pitched female vocal melody. It sounds emotional, sad, passionate and like something you would hear on a radio.",train,-1,"[""pop"", ""tinny wide hi hats"", ""mellow piano melody"", ""high pitched female vocal melody"", ""sustained pulsating synth lead"", ""soft female vocal"", ""punchy kick"", ""sustained synth bass"", ""claps"", ""emotional"", ""sad"", ""passionate""]",,,10.0
musiccaps_-4SYC2YgzL8_30_40,yt_-4SYC2YgzL8,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-4SYC2YgzL8_30_40.mp3,"low fidelity audio from a live performance featuring a solo direct input acoustic guitar strumming airy, suspended open chords. Also present are occasional ambient sounds, perhaps papers being shuffled.",test,-1,"[""solo live direct input acoustic guitar strumming"", ""airy suspended open chords"", ""low fidelity"", ""ambient sounds"", ""paper shuffling""]",,,10.0
